;height;href;lat;long;name;norm_name;norm_reg;okato;oktmo;people;phone_code;post_index;square;timezone
788;0;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BE%D1%82%D1%83%D0%BA%D0%B0%D0%BD_(%D0%BF%D0%BE%D1%81%D1%91%D0%BB%D0%BE%D0%BA_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D1%82%D0%B8%D0%BF%D0%B0);62.26805556;15.02777778;Оротукан;Оротукан;Магаданская;44 222 563;44722000071;1050;741343;686210;0;UTC+11
1341;0;https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BC%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4;54.00222222;48.73305556;Цемзавод;Цемзавод;Ульяновская;73 236 559;73636101056;1059;;433381;0;UTC+4
646;0;https://ru.wikipedia.org/wiki/%D0%9E%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C%D1%81%D0%BA%D0%B8%D0%B9_(%D0%9C%D0%B0%D0%BD%D1%82%D1%83%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);58.315;44.32;Октябрьский;Октябрьский;Костромская;34 220 823 001;34620423101;1102;;;0;UTC+3
2021;0;https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D1%81%D0%BE%D1%86%D0%BA;60.61666667;28.56666667;Высоцк;Высоцк;Ленинградская;41 215 504;41615104001;1120;781378;188909;39.81;UTC+3
2022;127;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%85%D0%BE%D1%8F%D0%BD%D1%81%D0%BA;67.55;13.05638889;Верхоянск;Верхоянск;Саха;98 216 503;98616103001;1131;741165;;0;UTC+10
1958;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D1%8B%D0%B9_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.09861111;15.14222222;Новый;Новый;Камчатский;30 207 000 012;30607416101;1134;741531;684016;0;UTC+12
1957;35;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D1%8B%D1%80%D0%B5%D0%B2%D1%81%D0%BA;56.06666667;15.16444444;Козыревск;Козыревск;Камчатский;30 219 000 005;30619405101;1241;741534;;0;UTC+12
1411;0;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B2%D1%80%D0%B5%D0%BD%D1%82%D0%B8%D1%8F_(%D1%81%D0%B5%D0%BB%D0%BE);65.58388889;17.01638889;Лаврентия;Лаврентия;Чукотский;77 233 000 001;77633420101;1290;742736;689300;0;UTC+12
787;857;https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%BA%D0%B0%D1%82_(%D0%9C%D0%B0%D0%B3%D0%B0%D0%B4%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C);62.58333333;15.08916667;Дукат;Дукат;Магаданская;44 204 555;44704000056;1315;;686417;7.5;UTC+11
1956;0;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BB%D0%B8%D1%87%D0%B8%D0%BA%D0%B8;60.43333333;16.10055556;Тиличики;Тиличики;Камчатский;30 127 000 001;30827405101;1330;741544;688800;0;UTC+12
191;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%81%D1%8C_(%D1%81%D0%B5%D0%BB%D0%BE);66.60166667;44.67583333;Несь;Несь;Ненецкий;11 143 000 001;11811443101;1368;781857;166737;0;UTC+3
1955;0;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B3%D0%BE%D1%80%D0%BD%D1%8B%D0%B9_(%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);53.11666667;15.14194444;Нагорный;Нагорный;Камчатский;30 207 000 013;30607416106;1469;741531;684014;0;UTC+12
786;0;https://ru.wikipedia.org/wiki/%D0%AD%D0%B2%D0%B5%D0%BD%D1%81%D0%BA;61.91666667;15.15388889;Эвенск;Эвенск;Магаданская;44 207 551;44707000051;1471;741348;686430;0;UTC+11
1954;0;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%B3%D0%B8%D0%BB%D1%8C_(%D1%81%D0%B5%D0%BB%D0%BE);57.76138889;15.14444444;Тигиль;Тигиль;Камчатский;30 132 000 001;30832405101;1518;+7 415-37;688600;2.07;UTC+12
190;0;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B5_(%D0%9D%D0%B5%D0%BD%D0%B5%D1%86%D0%BA%D0%B8%D0%B9_%D0%B0%D0%B2%D1%82%D0%BE%D0%BD%D0%BE%D0%BC%D0%BD%D1%8B%D0%B9_%D0%BE%D0%BA%D1%80%D1%83%D0%B3);67.83555556;53.59694444;Красное;Красное;Ненецкий;11 161 000 001;11811461101;1519;781853;166715;0;UTC+3
