norm_name;name;norm_reg;href;lat;long;okato;oktmo;people;square;height;phone_code;post_index;timezone;RegName;RegOKATO;RegPeople;RegSquare;adm_center;FedName;people2017;city_people;country_people
Нефтекамск;Нефтекамск;Башкортостан;https://ru.wikipedia.org/wiki/%D0%9D%D0%B5%D1%84%D1%82%D0%B5%D0%BA%D0%B0%D0%BC%D1%81%D0%BA;56.08333333;54.25;80 427;80727000001;126805;147.25;100.0;734783;452680;UTC+5;Башкортостан;80;4066972.0;142947.0;Уфа;Приволжский федеральный округ;126805;126805;
Кисловодск;Кисловодск;Ставропольский;https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%81%D0%BB%D0%BE%D0%B2%D0%BE%D0%B4%D1%81%D0%BA;43.90333333;42.72444444;7;07715000001;129861;72.0;800.0;787937;;UTC+3;Ставропольский край;7;2804383.0;66160.0;Ставрополь;Северо–Кавказский федеральный округ;129861;129861;
Ковров;Ковров;Владимирская;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B2%D1%80%D0%BE%D0%B2;56.36055556;41.31972222;17 425;17725000001;138552;57.4;125.0;749232;601900;UTC+3;Владимирская область;17;1389599.0;29084.0;Владимир;Центральный федеральный округ;138552;138552;
Хасавюрт;Хасавюрт;Дагестан;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D1%81%D0%B0%D0%B2%D1%8E%D1%80%D1%82;43.25;46.58333333;82 435 000 000;82735000001;140047;40.0;117.0;787231;;UTC+3;Дагестан;82;3041900.0;50270.0;Махачкала;Северо–Кавказский федеральный округ;140047;140047;
Одинцово;Одинцово;Московская;https://ru.wikipedia.org/wiki/%D0%9E%D0%B4%D0%B8%D0%BD%D1%86%D0%BE%D0%B2%D0%BE;55.67333333;37.27333333;46 241 501;46641101001;141493;19.6;190.0;+7 498, 495;;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;141493;141493;
Майкоп;Майкоп;Адыгея;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B9%D0%BA%D0%BE%D0%BF;44.61666667;40.11666667;79 401;79701000001;143343;58.62;220.0;78772;385000;UTC+3;Адыгея;79;453366.0;7792.0;Майкоп;Южный федеральный округ;143343;143343;
Коломна;Коломна;Московская;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BB%D0%BE%D0%BC%D0%BD%D0%B0;55.09388889;38.76805556;46 438;46738000001;144125;65.1;125.0;+7 496 6 (все номера начинаются на 1 и 2);;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;144125;144125;
Березники;Березники;Пермский;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B5%D0%B7%D0%BD%D0%B8%D0%BA%D0%B8;59.41666667;56.78333333;57 408;57708000001;145115;66.0;130.0;73424;;UTC+5;Пермский край;57;2632097.0;160236.0;Пермь;Приволжский федеральный округ;145115;145115;
Рубцовск;Рубцовск;Алтайский;https://ru.wikipedia.org/wiki/%D0%A0%D1%83%D0%B1%D1%86%D0%BE%D0%B2%D1%81%D0%BA;51.52722222;81.21861111;1 416;01716000001;145333;84.0;215.0;738557;658200;UTC+7;Алтайский край;1;2365680.0;167996.0;Барнаул;Сибирский федеральный округ;145333;145333;
Пятигорск;Пятигорск;Ставропольский;https://ru.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D0%B8%D0%B3%D0%BE%D1%80%D1%81%D0%BA;44.05;43.06;7 427;07727000001;145836;97.0;500.0;78793;357500;UTC+3;Ставропольский край;7;2804383.0;66160.0;Ставрополь;Северо–Кавказский федеральный округ;145836;145836;
Копейск;Копейск;Челябинская;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%BF%D0%B5%D0%B9%D1%81%D0%BA;55.1;61.61666667;75 428;75728000001;147573;236.71;200.0;735139;;UTC+5;Челябинская область;74;3502323.0;88529.0;Челябинск;Уральский федеральный округ;147573;147573;
Керчь;Керчь;Крым;https://ru.wikipedia.org/wiki/%D0%9A%D0%B5%D1%80%D1%87%D1%8C;45.33861111;36.46805556;;35715000001;149566;108.0;80.0;736561;;UTC+3;Крым;35;1912168.0;26081.0;Симферополь;Крымский федеральный округ;149566;149566;
Находка;Находка;Приморский;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%85%D0%BE%D0%B4%D0%BA%D0%B0_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);42.81666667;13.04805556;5 414 000 000;05714000001;151420;325.9;8.0;74236;6929xx;UTC+10;Приморский край;5;1923116.0;164673.0;Владивосток;Дальневосточный федеральный округ;151420;151420;
Миасс;Миасс;Челябинская;https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%B0%D1%81%D1%81;55.05;60.1;75 442;75742000001;151856;111.9;48.0;73513;456300;UTC+5;Челябинская область;74;3502323.0;88529.0;Челябинск;Уральский федеральный округ;151856;151856;
Салават;Салават;Башкортостан;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BB%D0%B0%D0%B2%D0%B0%D1%82;53.36666667;55.93333333;80 439;80739000001;153181;106.23;150.0;73476;453250-453265;UTC+5;Башкортостан;80;4066972.0;142947.0;Уфа;Приволжский федеральный округ;153181;153181;
Красногорск;Красногорск;Московская;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA;55.81666667;37.33333333;46 439;46623101001;153393;25.65;150.0;+7 495, 498;;UTC+3;Московская область;46;7423470.0;44329.0;Красногорск;Центральный федеральный округ;153393;153393;
