name;type;okato;oktmo;name2;sign_budget;oktmo_budget;name_budget;oktmo_parent;name_parent;;;;;;;;;;;;;;;;;;;;;;;;;;;
Баймакский район Республики Башкортостан;муниципальный район;80206000000;80606000;Баймакский муниципальный район;+;80606000;Баймакский муниципальный район;80000000;Республика Башкортостан;;;;;;;;;;;;;;;;;;;;;;;;;;;
город Баймак муниципального района Баймакский район Республики Башкортостан городское поселение;городское поселение;80404000000;80606101;город Баймак;+;80606101;город Баймак;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Абдулкаримовский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206804000;80606404;Абдулкаримовский сельсовет;+;80606404;Абдулкаримовский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Акмурунский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206807000;80606407;Акмурунский сельсовет;+;80606407;Акмурунский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Бекешевский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206809000;80606409;Бекешевский сельсовет;+;80606409;Бекешевский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Биляловский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206810000;80606410;Биляловский сельсовет;+;80606410;Биляловский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Зилаирский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206813000;80606413;Зилаирский сельсовет;+;80606413;Зилаирский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
1-й Иткуловский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206816000;80606416;1-й Иткуловский сельсовет;+;80606416;1-й Иткуловский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ишмурзинский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206822000;80606422;Ишмурзинский сельсовет;+;80606422;Ишмурзинский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ишмухаметовский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206825000;80606425;Ишмухаметовский сельсовет;+;80606425;Ишмухаметовский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ишбердинский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206828000;80606428;Ишбердинский сельсовет;+;80606428;Ишбердинский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
Кусеевский сельсовет муниципального района Баймакский район Республики Башкортостан сельское поселение;сельское поселение;80206831000;80606431;Кусеевский сельсовет;+;80606431;Кусеевский сельсовет;80606000;Баймакский муниципальный район;;;;;;;;;;;;;;;;;;;;;;;;;;;
