;href;name;people;reg;lat;long;okato;oktmo;phone_code;post_ind;square;timezone
75;https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%80%D1%8B%D0%BF%D0%BE%D0%B2%D0%BE;Шарыпово;37258;4;55.525;89.2;4440;4740000001;739153;662305–662315;0;UTC+7
76;https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%B2%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA;Дивногорск;29117;4;55.95;92.38333333;4409;4709000001;739144;663090, 663091, 663093, 663094, 663080 (п.Овсянка);0;UTC+7
77;https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B4%D0%B8%D0%BD%D0%BA%D0%B0;Дудинка;21978;4;69.4;86.18333333;4253501000;4653101001;739191;647000;0;UTC+7
78;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D0%BA%D0%B0_(%D0%91%D0%B5%D1%80%D1%91%D0%B7%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD,_%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);Берёзовка;20894;4;56.02222222;93.11416667;4205551;4605151051;739175;;0;UTC+7
79;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%B3%D0%BE%D1%82%D0%BE%D0%BB;Боготол;20245;4;56.2;89.51666667;4406;4706000001;739157;"662060 (Боготол)
662061 (Боготол 1)
662062 (Боготол 2)
662063 (Боготол 3)";0;UTC+7
80;https://ru.wikipedia.org/wiki/%D0%95%D0%BD%D0%B8%D1%81%D0%B5%D0%B9%D1%81%D0%BA;Енисейск;17999;4;58.46666667;92.13333333;4412;4712000001;739195;;0;UTC+7
81;https://ru.wikipedia.org/wiki/%D0%A8%D1%83%D1%88%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B5;Шушенское;16846;4;53.32583333;91.93944444;4259551;4659151051;739139;662720;0;UTC+7
82;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%BE%D0%B4%D0%B8%D0%BD%D0%BE_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);Бородино;16249;4;55.9;94.9;4407;4707000001;739168;"663980;663981";0;UTC+7
83;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B4%D0%B8%D0%BD%D1%81%D0%BA;Кодинск;16227;4;58.6;99.18333333;4224501000;4624101001;739143;663491, 663492;0;UTC+7
84;https://ru.wikipedia.org/wiki/%D0%A3%D0%B6%D1%83%D1%80;Ужур;15566;4;55.31666667;89.81666667;4256501000;4656101001;739156;662251, 662252, 662253, 662255;0;UTC+7
85;https://ru.wikipedia.org/wiki/%D0%98%D0%BB%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9;Иланский;15137;4;56.23333333;96.06666667;4218501000;4618101001;739173;663800, 663801;0;UTC+7
86;https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA;Владивосток;606589;5;43.11666667;13.03166667;5401000;5701000001;7423;;0;UTC+10
87;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%81%D1%83%D1%80%D0%B8%D0%B9%D1%81%D0%BA;Уссурийск;170660;5;43.8;13.0325;5423000;5723000001;74234;692500;0;UTC+10
88;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D1%85%D0%BE%D0%B4%D0%BA%D0%B0_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);Находка;151420;5;42.81666667;13.04805556;5414000000;5714000001;74236;6929xx;0;UTC+10
89;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%82%D1%91%D0%BC_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);Артём;106732;5;43.35;13.03638889;5405000;5705000001;742337;;0;UTC+10
90;https://ru.wikipedia.org/wiki/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D1%8C%D0%B5%D0%B2_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4);Арсеньев;52767;5;44.16666667;13.05444444;5403000;5703000001;742361;;0;UTC+10
91;https://ru.wikipedia.org/wiki/%D0%A1%D0%BF%D0%B0%D1%81%D1%81%D0%BA-%D0%94%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D0%B9;Спасск-Дальний;41127;5;44.6;13.04694444;5420000;5720000001;742352;692245;0;UTC+10
92;https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D0%BB%D1%8C%D1%88%D0%BE%D0%B9_%D0%9A%D0%B0%D0%BC%D0%B5%D0%BD%D1%8C;Большой Камень;38493;5;43.11666667;13.03916667;5406000000;5706000001;742335;;0;UTC+10
93;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D1%82%D0%B8%D0%B7%D0%B0%D0%BD%D1%81%D0%BA;Партизанск;37291;5;43.13333333;13.05222222;5417000;5717000001;742363;692864;0;UTC+10
94;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D0%BE%D0%B7%D0%B0%D0%B2%D0%BE%D0%B4%D1%81%D0%BA;Лесозаводск;35816;5;45.46666667;13.05666667;5411000000;5711000001;+7 42355;;0;UTC+10
95;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BB%D1%8C%D0%BD%D0%B5%D0%B3%D0%BE%D1%80%D1%81%D0%BA;Дальнегорск;35034;5;44.56666667;13.09361111;5407000;5707000001;742373;692441–692446;0;UTC+10
96;https://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%BB%D1%8C%D0%BD%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%81%D0%BA;Дальнереченск;26121;5;45.93333333;13.06222222;5408000;5708000001;742356;;0;UTC+10
