;href;lat;long;name;name_reg;norm_name;norm_reg;oktmo;people;phone_code;post_ind;reg;square;timezone
40;https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B5%D0%BD%D0%BE%D0%B2%D1%81%D0%BA;45.46666667;39.45;Кореновск;Краснодарский край;Кореновск;Краснодарский;3621101001;41823;786142;;3.0;0.0;UTC+3
41;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D1%82%D1%8C-%D0%9B%D0%B0%D0%B1%D0%B8%D0%BD%D1%81%D0%BA;45.21527778;39.68944444;Усть-Лабинск;Краснодарский край;Усть-Лабинск;Краснодарский;3657101001;41348;786135;352330;3.0;0.0;UTC+3
42;https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D1%88%D0%B5%D1%80%D0%BE%D0%BD%D1%81%D0%BA;44.46083333;39.74055556;Апшеронск;Краснодарский край;Апшеронск;Краснодарский;3605101001;40239;786152;352690;3.0;0.0;UTC+3
43;https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D0%BC%D1%80%D1%8E%D0%BA;45.26666667;37.38333333;Темрюк;Краснодарский край;Темрюк;Краснодарский;3651101001;40108;786148;;3.0;0.0;UTC+3
44;https://ru.wikipedia.org/wiki/%D0%90%D0%B1%D0%B8%D0%BD%D1%81%D0%BA;44.86666667;38.16666667;Абинск;Краснодарский край;Абинск;Краснодарский;3601101001;37749;786150;;3.0;0.0;UTC+3
45;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%BD%D0%B8%D0%BD%D0%B3%D1%80%D0%B0%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_(%D1%81%D1%82%D0%B0%D0%BD%D0%B8%D1%86%D0%B0);46.32111111;39.39777778;Ленинградская;Краснодарский край;Ленинградская;Краснодарский;3632410101;36940;786145;;3.0;0.0;UTC+3
46;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D1%8F%D1%87%D0%B8%D0%B9_%D0%9A%D0%BB%D1%8E%D1%87;44.63333333;39.13333333;Горячий Ключ;Краснодарский край;Горячий Ключ;Краснодарский;3709000001;36807;786159;353290;3.0;0.0;UTC+3
47;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D0%BA%D1%83%D0%B1%D0%B0%D0%BD%D1%81%D0%BA;45.1;41.05;Новокубанск;Краснодарский край;Новокубанск;Краснодарский;3634101001;35437;786195;;3.0;0.0;UTC+3
48;https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F;45.21666667;39.22472222;Динская;Краснодарский край;Динская;Краснодарский;3614404101;34848;786162;;3.0;0.0;UTC+3
49;https://ru.wikipedia.org/wiki/%D0%93%D1%83%D0%BB%D1%8C%D0%BA%D0%B5%D0%B2%D0%B8%D1%87%D0%B8;45.36027778;40.69444444;Гулькевичи;Краснодарский край;Гулькевичи;Краснодарский;3613101001;34360;786160;352190;3.0;0.0;UTC+3
50;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE-%D0%90%D1%85%D1%82%D0%B0%D1%80%D1%81%D0%BA;46.05;38.18333333;Приморско-Ахтарск;Краснодарский край;Приморско-Ахтарск;Краснодарский;3641101001;31925;786143;353860–353866;3.0;0.0;UTC+3
51;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);46.13333333;39.76666667;Павловская;Краснодарский край;Павловская;Краснодарский;3639428101;31327;786191;;3.0;0.0;UTC+3
52;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%BE%D0%BC%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F;46.53333333;39.05;Староминская;Краснодарский край;Староминская;Краснодарский;3647413101;29809;786153;;3.0;0.0;UTC+3
53;https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%89%D1%91%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;46.55;39.66666667;Кущёвская;Краснодарский край;Кущевская;Краснодарский;3628416101;28362;786168;;3.0;0.0;UTC+3
54;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%82%D0%B0%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;45.36666667;38.21166667;Полтавская;Краснодарский край;Полтавская;Краснодарский;3623410101;26626;786165;;3.0;0.0;UTC+3
55;https://ru.wikipedia.org/wiki/%D0%A2%D0%B1%D0%B8%D0%BB%D0%B8%D1%81%D1%81%D0%BA%D0%B0%D1%8F;45.36666667;40.2;Тбилисская;Краснодарский край;Тбилисская;Краснодарский;3649419101;25317;786158;352360;3.0;0.0;UTC+3
