norm_name;num;href;name;square;people;adm_center;num_reg;num_city;okato;num_mun_reg;num_mun_city;FederalDistrictName;FederalDistrictID
Магаданская;52;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%B3%D0%B0%D0%B4%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Магаданская область;462464;145570;Магадан;8;2;44;8;1;Дальневосточный федеральный округ;8
Московская;53;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Московская область;44329;7423470;Красногорск;38;56;46;29;39;Центральный федеральный округ;1
Мурманская;54;https://ru.wikipedia.org/wiki/%D0%9C%D1%83%D1%80%D0%BC%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Мурманская область;144902;757621;Мурманск;5;13;47;5;14;Северо-Западный федеральный округ;2
Нижегородская;55;https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B6%D0%B5%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Нижегородская область;76624;3247713;Нижний Новгород;48;12;22;48;4;Приволжский федеральный округ;5
Новгородская;56;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Новгородская область;54501;612522;Великий Новгород;21;3;49;21;1;Северо-Западный федеральный округ;2
Новосибирская;57;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Новосибирская область;177756;2779555;Новосибирск;30;7;50;30;5;Сибирский федеральный округ;7
Омская;58;https://ru.wikipedia.org/wiki/%D0%9E%D0%BC%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Омская область;141140;1972682;Омск;32;6;52;32;1;Сибирский федеральный округ;7
Оренбургская;59;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B5%D0%BD%D0%B1%D1%83%D1%80%D0%B3%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Оренбургская область;123702;1989589;Оренбург;35;12;53;35;9;Приволжский федеральный округ;5
Орловская;60;https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Орловская область;24652;754816;Орел;24;3;54;24;3;Центральный федеральный округ;1
Пензенская;61;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%BD%D0%B7%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Пензенская область;43352;1341526;Пенза;28;5;56;27;3;Приволжский федеральный округ;5
